v5,v6,v7,v8,v9,v10,v11,v12,v13,v14_1,v14_1a,v15_1,v15_1a,v16_1,v16_1a,v17_1,v17_1a,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,split,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,gruppe,v126,v127,v128,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v139,v140,v141,v142,v143,v144,v145,v146,v147,v148,split3,v149,v150,v151,v152,v153,v154,v155,v156,v157,v158,v159,v160,v161,v162,v163,v164,v165,v166,v167,v168,v169,v170,v171,v172,v173,v174,v175,v176,v177,v178,v179,v180,v181,v182,v183,v184,v185,v186,v187,v188,v189,v190,v191,v192,v193,v194,v195,v196,v197,v198,v199,v200,v201,v202,v203,v204,v205,v206,v207,v208,v209,v210,v212,v213,v214,v215,v216,v217,v218,v219,v220,v221,v222,v223,v224,v225,v226,v227,v228,v229,v230,v231,v232,v233,v234,v235,v236,v237,v238,v239,v240,v241,v242,v243,v244,v245,v246,v247,v248,v249,v250,v251,v252,v253,v254,v255,v256,v257,v258,v259,v260,v261,v262,split2,v263,v264,v265,v266,v267,v268,v269,v270,v271,v272,v273,v274,v275,v276,v277,v278,v279,v280,v281,v282,v283,v284,v285,v286,v287,v288,v289,v290,v291,v292,v293,v294,v295,v296,v297,v298,v299,v300,v301,v302,v303,v304,v305,v306,v307,v308,v309,v310,v311,v312,v313,v314,v315,v316,v317,v318,v319,v320,v321,v322,v323,v324,v325,v326,v327,v328,v329,v330,v331,v332_andet,v332_samlet,v333,v334,v336,v337,v338,v340,v341,r10,fdag,fmd,faar,knr,freg,statb,civst,bald,select,sampling,intbald,int_koen,anc,Stillingskode,Tidligerestillingskode,Samletstillingskode,simpel,udvidet,socio,simpel.tidligere,udvidet.tidligere,socio.tidligere,simpelsamlet,udvidetsamlet,sociosamlet,region,weight_1,weight_2,weight_3,weight_4,Postnummer
1,1984,0,100,100,100,100,1,7,393,,3,,3,,3,,5,5,1,5,5,5,1,1,5,5,5,5,5,5,1,5,1,5,5,2,5,5,5,5,5,5,5,5,5,5,7,3,2,6,5,8,2,1,5,5,5,5,1,5,5,5,5,5,9,7,11,11,6,7,4,7,8,7,9,7,6,8,5,7,8,5,100,10,11,3,2,100,100,100,100,100,100,100,100,100,100,100,100,10,10,10,10,10,10,10,10,10,10,10,10,7,7,88,7,7,88,7,7,5,2,3,1,4,2,3,3,2,2,1,2,2,2,3,4,4,8,3,3,2,8,4,3,8,2,2,2,2,2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1,2,2,1,2,8,1,3,2,1,1,3,3,3,1,3,3,3,3,2,4,3,2,3,8,8,8,8,2,2,5,3,3,3,3,8,3,2,4,2,2,2,3,2,4,3,7,1,3,3,3,1,3,3,3,3,3,3,3,3,8,8,8,5,5,88,88,88,88,8,7,1,3,8,8,1,3,1,2,4,3,2,8,8,2,1,3,2,8,3,4,8,8,4,8,3,3,4,4,1,3,8,8,3,8,1,2,8,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,8,8,2,4,1,3,1,2,5,5,1,5,5,1,1,5,5,998,8,88,88,7,88,88,1,10,5,5,5,5,5,5,10,10,10,4,3,1,2,5,100,,,2,30,2,2,10,10,8,1,15,12,1984,580,529,5100,U,26,0.511627906976744,1.95454545454545,67,2,15,41421,,41421,5,8,134,,,,5,8,134,3,0.923445407669615,0.78113064236111,0.923042963048035,1.13932374286169,6200
5,1948,0,100,100,100,100,3,7,210,3,200,2,800,11,800,11,5,5,1,1,5,5,5,1,5,5,5,5,5,5,5,1,5,5,5,1,1,5,5,5,1,5,1,5,5,5,7,7,2,8,10,2,1,1,5,5,5,5,5,5,5,5,1,5,3,10,10,0,4,0,0,3,10,10,10,0,0,0,0,0,10,8,100,10,2,3,2,100,100,100,100,100,100,100,100,100,100,100,100,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,1,1,1,3,1,1,1,15,3,3,3,1,1,1,2,1,4,5,4,4,4,3,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,1,2,2,2,2,1,3,8,2,1,2,2,1,2,3,3,1,2,1,1,1,3,1,1,1,5,1,5,1,3,8,1,1,1,2,2,8,5,5,5,1,5,1,5,5,1,8,1,1,8,1,1,3,4,3,0,2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,77,5,5,88,88,88,88,88,9,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8,2,10,10,10,10,10,10,10,10,10,8,8,8,8,9,9,9,9,9,10,10,10,10,10,10,10,10,10,8,8,8,8,8,8,8,8,1,5,1,5,5,5,1,1,5,5,998,8,1,8,7,3,8,3,5,1,5,5,5,5,1,10,10,1,4,2,1,4,1,13,,13,8,100,10,10,1,2,10,71,21,12,1948,580,533,5100,F,62,0.373493975903614,2.67741935483871,,,,99970,34393,99970,6,9,32,3,4,133,6,9,32,3,1.0939638323763,1.07088537777171,1.28145080136695,1.13932374286169,6200
1,1986,0,100,100,100,100,3,7,450,2,550,12,623,7,3,,5,5,5,5,1,5,1,5,5,5,1,5,5,5,1,1,1,5,5,2,1,5,5,5,5,5,5,1,5,1,4,0,5,6,3,7,4,1,5,5,5,5,5,5,5,1,5,5,7,0,2,11,0,11,10,10,2,0,2,11,3,11,10,10,3,1,8,2,100,3,1,7,7,2,7,7,2,8,1,1,8,10,10,100,100,100,100,100,100,100,100,100,100,100,100,88,88,88,88,88,88,8,10,88,1,2,4,3,1,2,3,1,2,3,2,2,1,2,4,5,4,5,4,3,3,8,4,8,2,1,1,1,2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,2,2,1,2,8,3,1,1,1,4,1,4,2,1,1,5,3,4,1,8,2,1,5,3,1,8,5,5,5,4,5,5,1,3,5,1,5,1,1,1,1,1,3,8,8,6,1,2,8,2,2,3,8,2,2,2,2,2,2,2,2,2,8,0,2,9,1,88,10,10,1,5,5,8,4,8,1,1,8,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,8,8,8,8,8,8,8,8,8,10,10,10,10,10,10,10,10,10,5,5,5,3,8,5,5,8,5,10,10,10,10,10,10,10,10,10,5,5,1,5,5,1,1,5,5,998,8,1,8,7,6,10,1,10,5,5,5,5,1,1,10,5,5,4,3,1,3,1,4,,4,1,100,2,1,10,10,4,1,31,8,1986,580,529,5100,U,25,0.511627906976744,1.95454545454545,67,2,15,31310,,31310,3,4,133,,,,3,4,133,3,1.25244109160837,0.78113064236111,0.923042963048035,1.13932374286169,6200
5,1963,1,0,0,1,100,3,6,613,6,210,3,800,11,3,,5,5,1,1,5,5,5,1,5,5,5,5,5,5,5,5,1,5,5,2,8,5,5,5,1,5,5,5,5,1,7,7,3,1,6,4,5,5,10,10,10,10,10,10,10,10,10,10,4,10,8,0,10,1,0,0,9,9,7,0,10,3,0,0,9,1,4,1,100,3,2,100,100,100,100,100,100,100,100,100,100,100,100,1,1,4,1,1,1,4,4,4,4,4,4,10,8,4,10,8,4,4,4,3,1,2,4,3,10,4,4,4,2,1,2,2,2,3,4,8,4,4,2,2,2,1,2,1,1,2,2,2,1,2,2,3,2,2,1,3,3,3,2,3,3,1,1,2,2,2,1,2,3,2,4,2,2,3,5,5,4,5,4,1,4,2,1,1,4,4,5,1,5,3,3,1,5,5,3,3,5,5,1,2,3,5,5,1,1,5,2,5,3,10,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1,3,6,10,1,88,8,9,0,3,2,1,4,8,1,1,4,4,2,2,1,4,8,2,1,4,4,3,3,2,4,8,2,2,5,4,1,3,2,1,5,8,1,1,5,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,3,5,1,8,4,5,1,1,5,5,1,5,5,5,1,5,5,998,2,88,88,88,6,10,3,4,1,5,1,5,5,1,10,10,9,4,8,1,8,5,100,,,1,100,2,3,10,10,5,1,5,4,1963,580,545,5100,U,48,0.311827956989247,3.20689655172414,67,2,15,24452,,24452,2,3,132,,,,2,3,132,3,0.927077334848876,0.974720087918368,0.778878477027269,0.764057188543655,6230
5,1963,2,0,0,2,100,2,6,641,6,623,7,9,,9,,5,5,1,5,1,1,5,5,5,5,5,5,5,5,1,1,1,5,5,3,5,5,5,5,5,5,5,1,5,5,2,0,5,2,6,7,5,1,5,5,5,5,5,5,5,5,1,5,6,5,3,1,3,6,10,6,9,5,4,2,4,8,10,6,9,5,100,10,7,3,2,100,100,100,100,100,100,100,100,100,100,100,100,88,10,10,10,10,8,7,7,7,7,7,7,7,7,88,7,9,9,7,7,3,2,3,4,1,11,4,4,3,2,2,1,2,3,2,4,4,5,4,4,5,3,4,4,3,1,1,1,2,2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,2,2,2,2,8,3,3,1,1,5,1,1,1,1,1,5,1,4,2,4,1,2,2,2,1,2,5,3,2,3,3,5,3,3,4,1,4,1,1,5,1,1,3,4,3,9,1,8,8,8,8,3,3,2,2,2,1,2,3,8,2,3,8,4,3,7,88,8,9,88,8,4,4,9,4,4,1,2,3,3,4,4,1,3,4,3,2,3,1,8,8,8,8,8,8,8,8,8,2,10,10,10,10,10,10,10,10,10,8,8,8,8,8,8,8,8,8,10,10,10,10,10,10,10,10,10,3,3,3,3,3,3,3,3,3,5,5,1,5,5,1,1,5,5,998,8,1,8,7,5,11,3,4,1,5,5,5,1,1,10,5,1,4,3,1,5,1,3,,3,1,100,1,3,10,10,1,1,10,10,1963,580,545,5100,G,47,0.311827956989247,3.20689655172414,67,2,15,41901,,41901,3,5,134,,,,3,5,134,3,1.60047936016211,0.974720087918368,1.19433865256665,1.13932374286169,6230
5,1956,0,100,100,100,100,3,6,3,,3,,3,,9,,5,5,1,5,5,5,1,5,5,1,5,5,5,5,1,5,1,5,5,2,1,5,5,5,5,5,1,1,5,5,7,7,1,4,2,4,2,1,5,5,5,5,5,5,5,1,5,5,6,7,5,5,8,3,3,7,7,6,8,5,8,3,3,7,8,1,4,2,100,3,1,9,7,10,88,7,9,1,3,4,88,3,4,100,100,100,100,100,100,100,100,100,100,100,100,88,88,10,10,88,88,4,4,3,1,1,2,1,8,1,2,2,2,1,1,2,1,4,4,8,4,8,3,4,8,4,8,2,2,2,1,2,1,1,3,2,2,2,1,2,3,3,1,2,3,2,2,2,2,2,1,2,3,1,1,2,2,4,3,3,3,2,2,3,2,3,1,2,3,1,5,2,5,3,2,2,2,3,2,3,2,3,4,3,2,2,2,2,1,1,3,3,3,7,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,88,88,88,88,88,88,88,88,8,8,8,8,8,1,8,5,3,5,4,2,5,2,2,2,5,5,8,8,8,8,8,8,8,5,3,2,10,10,10,10,10,10,10,10,10,8,8,8,8,8,8,8,8,1,5,4,4,5,8,8,1,5,5,10,10,10,10,10,10,10,10,10,5,5,1,5,5,1,1,5,5,998,8,88,88,88,5,11,1,10,5,5,5,5,5,1,10,10,5,2,2,1,6,1,5,,5,2,32,3,3,10,10,4,71,16,12,1956,550,7418,5100,F,54,0.23015873015873,4.3448275862069,,,,51325,,51325,3,5,134,,,,3,5,134,3,1.35022474627689,1.0049932430952,1.21003818832613,1.13932374286169,6240
5,1975,2,0,2,100,100,3,6,641,6,691,6,620,7,3,,5,5,1,5,5,1,5,5,5,1,5,5,5,1,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,7,1,3,1,5,1,1,5,10,10,10,10,10,10,10,10,10,10,1,8,7,3,7,6,7,4,7,7,8,3,6,5,7,3,7,5,100,10,11,3,2,100,100,100,100,100,100,100,100,100,100,100,100,3,3,3,3,3,1,1,1,1,1,1,3,2,3,1,7,7,1,1,1,3,3,2,1,4,15,2,2,3,2,2,2,2,2,2,4,4,4,3,3,3,4,4,3,2,8,1,1,1,2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,2,2,1,1,2,1,1,1,2,2,2,4,2,1,8,3,2,4,1,5,4,2,1,8,4,8,8,4,4,5,4,4,5,8,4,3,2,1,2,4,2,4,3,3,3,8,1,2,3,2,1,2,1,2,2,1,1,1,2,2,1,1,5,2,4,9,1,5,10,7,2,4,3,3,2,3,1,3,3,2,4,4,2,3,3,2,2,3,3,3,3,4,3,3,3,4,4,3,2,10,10,10,10,10,10,10,10,10,5,5,3,5,4,3,3,4,5,10,10,10,10,10,10,10,10,10,1,2,5,2,3,4,4,3,3,5,5,1,5,5,1,1,5,5,998,2,88,9,7,4,10,3,8,5,5,5,5,8,5,10,10,10,4,5,4,100,1,1,,1,1,100,3,3,10,10,5,1,20,11,1975,550,5316,5100,F,35,0.418918918918919,2.38709677419355,63,1,3,51324,,51324,3,5,134,,,,3,5,134,3,0.823212462046542,0.518630700952867,0.846745887356518,1.71509053156926,6270
5,1951,0,100,100,100,100,2,6,200,2,600,6,3,,3,,5,5,5,1,5,1,5,5,5,1,5,5,5,5,1,1,5,5,5,2,1,5,1,5,1,1,5,1,1,5,7,7,3,1,5,9,2,1,5,5,5,1,5,5,5,5,5,5,4,99,5,5,9,3,1,2,9,8,9,5,8,5,1,5,10,1,9,2,100,3,2,100,100,100,100,100,100,100,100,100,100,100,100,10,88,9,1,1,1,1,1,4,1,1,9,88,7,4,7,7,9,3,9,1,2,3,1,4,1,2,3,1,2,1,2,2,1,4,4,3,4,3,3,3,3,2,3,2,1,2,1,2,1,1,2,2,2,2,2,3,2,2,2,2,2,2,8,2,2,2,1,1,3,1,1,1,1,2,2,2,2,1,5,3,2,4,4,2,3,1,4,3,2,8,5,2,4,2,2,4,4,4,2,4,4,2,2,4,2,2,3,2,3,10,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1,2,9,10,1,6,10,10,1,3,2,2,3,4,1,3,3,3,4,2,2,3,2,2,2,3,4,4,3,3,4,3,3,4,4,5,2,10,10,10,10,10,10,10,10,10,5,3,3,5,3,2,3,5,5,10,10,10,10,10,10,10,10,10,3,3,4,3,4,5,3,2,2,5,5,5,5,5,5,1,5,5,998,2,4,88,88,3,6,1,10,5,1,5,5,1,1,2,5,1,4,3,1,8,1,9,,9,8,100,10,10,1,3,10,1,14,7,1951,540,533,5100,G,60,0.373493975903614,2.67741935483871,69,2,13,99970,33202,99970,6,9,32,3,4,133,6,9,32,3,0.623048009925748,1.07088537777171,0.835687973766189,0.764057188543655,6300
1,1978,2,2,100,100,100,3,6,670,6,654,8,641,6,3,,5,5,5,5,1,1,5,5,5,1,5,5,5,1,5,5,5,5,5,3,1,5,5,5,5,5,5,5,5,5,5,0,5,3,1,1,2,1,5,5,5,5,5,5,1,5,5,5,12,6,11,2,5,11,5,4,11,5,3,11,5,3,4,5,11,5,100,10,1,2,2,100,100,100,100,100,100,100,100,100,100,100,100,88,1,1,10,1,1,8,1,1,1,1,10,10,8,88,88,88,3,7,1,3,2,1,3,4,3,1,2,2,2,1,2,1,4,2,4,4,4,2,2,2,3,2,3,2,1,1,1,1,2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,2,1,1,2,3,1,3,1,1,8,4,2,2,1,4,5,1,5,4,5,2,1,2,2,1,2,2,1,3,2,2,1,2,1,1,4,2,3,1,4,2,3,2,2,2,6,1,1,1,3,2,1,1,1,3,2,1,1,1,3,1,3,3,3,4,7,4,6,5,4,5,4,3,2,3,3,2,1,2,3,4,3,3,1,3,2,1,3,4,2,3,3,4,4,3,2,2,3,1,4,2,3,2,4,4,1,3,2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4,3,2,4,3,4,4,4,3,5,5,5,5,5,5,1,5,5,998,8,88,88,88,5,6,3,1,5,5,5,5,5,5,10,10,10,4,2,1,3,1,1,,1,1,100,1,1,10,10,5,1,13,3,1978,580,8943,5100,U,33,0.471698113207547,2.12,69,2,13,71223,,71223,4,7,134,,,,4,7,134,3,0.891381484394367,0.78113064236111,0.923042963048035,1.13932374286169,6392
5,1942,0,100,100,100,100,2,6,620,7,615,8,10,17,,,5,5,5,5,1,5,1,5,5,1,5,5,5,5,1,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,7,0,2,6,8,1,5,5,10,10,10,10,10,10,10,10,10,10,1,6,0,0,0,0,0,8,0,8,5,1,3,0,0,6,5,1,1,1,100,2,2,100,100,100,100,100,100,100,100,100,100,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,3,4,1,2,3,1,2,2,2,2,4,3,3,3,3,3,3,2,3,3,3,1,2,1,1,1,2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1,1,1,2,2,1,3,1,5,4,1,1,5,1,1,1,4,2,1,1,5,5,3,8,1,1,1,5,1,5,5,2,5,1,2,5,2,8,1,1,1,1,1,2,2,5,8,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,6,2,3,5,5,6,3,2,2,3,1,1,1,3,2,2,5,3,3,2,2,1,3,3,3,5,4,2,1,4,2,5,2,5,2,10,10,10,10,10,10,10,10,10,4,2,2,2,2,4,3,2,1,10,10,10,10,10,10,10,10,10,2,2,2,8,8,8,2,2,1,5,5,1,5,5,5,1,5,5,998,8,88,88,88,1,2,3,3,5,5,5,5,5,5,10,10,10,4,1,4,100,5,100,,,9,100,10,10,1,1,10,1,4,5,1942,540,513,5100,G,69,0.372093023255814,2.6875,69,2,13,99911,81100,99911,6,9,32,5,8,134,6,9,32,3,1.02835098817406,1.07088537777171,1.09205601784093,1.04437953684833,6400
1,1952,0,100,100,100,100,2,6,291,,641,6,210,3,650,8,5,1,5,1,5,5,1,5,5,5,5,5,5,5,1,1,1,5,5,1,1,5,5,5,1,5,5,1,5,5,7,7,3,5,1,8,5,5,10,10,10,10,10,10,10,10,10,10,7,4,3,2,8,5,10,1,10,5,9,8,3,4,1,9,3,5,100,10,8,2,1,2,5,1,8,5,1,8,8,1,8,8,1,100,100,100,100,100,100,100,100,100,100,100,100,10,5,2,5,5,2,3,1,8,2,3,1,4,14,3,3,3,1,2,1,1,3,2,4,4,4,4,3,4,4,4,4,2,1,1,1,1,2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1,2,1,2,1,4,1,5,5,1,2,4,5,1,1,2,4,2,2,5,1,5,1,1,2,2,5,1,5,5,2,1,1,5,1,1,2,2,5,5,1,2,3,1,1,2,10,2,2,2,2,2,2,3,3,2,2,3,3,2,2,2,2,10,4,5,8,2,5,1,9,1,4,3,1,4,3,1,3,4,3,5,3,2,5,2,4,2,5,2,4,3,2,4,3,1,2,4,3,2,10,10,10,10,10,10,10,10,10,3,4,2,4,2,2,2,4,3,5,3,1,5,2,3,1,5,2,10,10,10,10,10,10,10,10,10,5,5,1,5,5,5,1,5,5,998,4,88,8,7,7,17,3,3,1,1,1,1,1,1,2,1,1,4,5,1,8,1,10,,10,1,100,3,1,10,10,4,1,24,1,1952,540,5180,5100,G,59,0.354838709677419,2.81818181818182,72,1,7,23311,,23311,2,2,132,,,,2,2,132,3,0.667929673393205,0.877344304865056,0.662672558964533,0.764057188543655,6400
5,1941,0,100,100,100,100,5,5,280,3,622,7,10,17,,,5,5,1,5,1,5,5,5,1,5,5,5,5,5,5,1,5,5,5,3,1,5,1,5,5,5,1,5,5,8,7,7,5,3,1,1,5,5,10,10,10,10,10,10,10,10,10,10,1,10,8,4,11,11,7,3,6,10,8,6,7,11,4,4,5,1,1,2,100,3,1,88,88,88,88,88,88,88,88,1,88,8,1,100,100,100,100,100,100,100,100,100,100,100,100,1,88,1,1,8,1,1,1,8,1,3,4,2,14,1,4,1,2,1,1,1,1,2,5,4,4,4,4,5,4,3,3,8,2,2,1,2,2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,2,2,1,2,1,2,2,1,1,1,2,3,1,4,1,1,2,4,1,1,2,1,2,1,1,1,1,1,1,2,2,3,1,1,1,1,2,1,1,1,1,1,3,2,3,10,2,1,1,3,3,8,1,1,1,1,1,1,8,1,1,1,2,1,3,9,88,6,3,7,6,3,3,2,8,3,3,4,3,3,3,2,2,8,2,4,3,4,3,3,3,3,3,3,3,3,3,3,2,10,10,10,10,10,10,10,10,10,5,3,3,3,3,3,3,3,3,1,2,2,2,3,4,4,3,3,10,10,10,10,10,10,10,10,10,1,1,5,5,5,1,5,5,5,998,8,88,8,88,2,2,1,10,5,5,5,5,5,5,10,10,10,4,1,1,6,5,100,,,16,100,10,10,1,3,10,1,16,3,1941,540,8794,5100,E,70,0.44,2.27272727272727,72,1,7,99990,51325,99990,6,,,3,5,134,6,,,3,1.08872668668932,0.95940073074833,1.15054593519511,1.13932374286169,6400
5,1942,0,100,100,100,100,2,6,200,2,641,6,10,17,,,5,5,1,5,5,5,1,5,5,1,5,5,5,5,1,5,5,5,5,3,1,5,5,5,5,5,5,5,5,5,7,7,2,3,6,8,5,1,5,5,5,5,5,5,1,5,5,5,7,5,5,6,2,88,4,9,1,5,8,3,4,2,6,9,88,1,8,2,100,3,1,8,7,2,7,8,2,88,8,9,8,8,9,100,100,100,100,100,100,100,100,100,100,100,100,8,10,8,10,8,88,4,9,3,3,2,1,4,7,3,3,2,1,2,1,1,4,3,4,5,5,4,4,4,4,4,4,8,1,1,1,1,2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1,1,1,1,2,4,2,3,1,1,1,3,2,2,2,4,3,2,4,1,4,4,1,5,5,4,9,1,2,1,5,8,1,3,4,2,3,3,4,4,2,2,4,2,3,3,8,1,3,3,3,3,3,3,3,3,1,2,3,3,2,2,2,5,4,5,6,2,5,7,8,1,3,3,3,3,3,2,3,8,8,4,2,2,4,2,2,3,8,3,8,8,8,8,8,8,8,8,8,2,10,10,10,10,10,10,10,10,10,8,8,8,8,8,8,8,8,4,4,3,3,3,3,3,3,3,3,10,10,10,10,10,10,10,10,10,5,5,1,5,5,1,1,5,5,998,1,1,8,7,1,3,3,4,5,5,5,5,1,1,10,1,5,4,1,4,100,5,100,,,9,100,10,10,1,1,10,1,25,5,1942,540,519,5100,G,69,0.372093023255814,2.6875,72,1,7,99911,91321,99911,6,9,32,5,8,135,6,9,32,3,1.0653418476008,1.07088537777171,1.09205601784093,1.04437953684833,6430
1,1989,1,1,100,100,100,1,6,200,2,3,,3,,3,,5,5,1,1,5,5,1,5,5,5,5,5,5,5,1,5,1,5,5,4,8,5,5,5,5,5,1,5,1,5,0,1,5,2,6,12,9,9,9,9,9,9,9,9,9,9,9,9,12,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,5,100,10,88,3,1,88,88,88,88,88,88,88,88,88,88,88,88,100,100,100,100,100,100,100,100,100,100,100,100,88,88,88,88,88,88,88,88,88,1,2,3,4,8,4,4,4,2,2,2,2,2,1,3,4,4,3,2,2,8,3,2,8,2,3,3,1,2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1,2,2,1,2,4,8,4,8,8,8,1,5,4,1,1,5,8,2,2,1,8,2,1,2,1,8,8,1,8,3,2,2,1,1,2,8,2,8,1,2,2,8,3,2,2,1,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,4,88,88,88,88,88,88,88,88,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,8,8,8,8,8,8,8,8,2,10,10,10,10,10,10,10,10,10,8,8,8,8,8,8,8,8,4,10,10,10,10,10,10,10,10,10,5,5,5,5,5,5,5,5,1,998,8,88,88,88,4,88,1,10,5,5,5,5,5,5,10,10,10,4,3,2,100,5,100,,,1,100,1,2,10,10,1,1,23,2,1989,540,523,5100,U,22,0.697674418604651,1.43333333333333,72,1,7,82900,,82900,5,8,134,,,,5,8,134,3,1.07885584698907,1.29511751447405,1.1722483784331,1.04437953684833,6430
5,1987,0,100,100,100,100,3,6,210,3,620,7,681,13,280,3,5,5,1,5,5,5,5,1,5,1,5,5,5,5,1,1,1,5,5,3,1,5,5,5,1,5,5,5,5,5,7,3,5,6,3,1,2,1,1,5,5,5,1,5,5,5,5,5,1,8,4,6,3,4,2,2,11,8,11,5,4,11,3,4,11,5,100,10,11,3,2,100,100,100,100,100,100,100,100,100,100,100,100,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,88,8,4,1,2,3,10,3,1,2,1,1,2,2,2,4,4,3,4,3,3,2,2,3,3,2,2,2,2,2,1,2,2,3,3,2,1,3,3,3,1,1,3,2,3,2,2,2,1,1,3,3,3,4,4,3,2,3,2,1,3,4,3,5,3,3,4,2,4,2,2,4,4,3,4,5,4,4,2,4,5,2,4,4,2,4,2,1,4,4,4,5,2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,5,4,6,4,2,2,3,3,3,4,2,4,4,4,4,4,1,2,4,3,3,4,4,4,3,2,8,8,8,8,8,8,8,8,8,2,10,10,10,10,10,10,10,10,10,2,8,3,8,4,2,4,8,5,10,10,10,10,10,10,10,10,10,2,4,2,8,4,4,4,8,3,5,5,5,5,5,5,1,5,5,998,8,88,88,88,5,10,3,8,1,5,5,5,5,5,10,10,10,2,6,4,100,1,1,,1,2,30,2,1,10,10,4,1,16,12,1987,510,543,5100,U,23,0.589473684210526,1.69642857142857,71,1,5,51690,,51690,3,5,134,,,,3,5,134,3,1.35082987391858,0.997414906819661,1.35677085180804,1.71509053156926,6500
5,1986,1,1,100,100,100,1,6,646,6,630,6,610,6,10,17,5,5,5,5,1,5,5,5,1,1,5,5,5,5,1,1,1,5,5,2,1,5,5,5,1,1,5,1,1,1,5,1,5,2,1,1,1,1,5,5,5,5,1,5,5,5,5,5,1,5,11,11,11,7,3,1,11,5,6,11,5,11,3,1,11,5,100,10,5,3,1,7,7,5,5,7,5,88,8,4,4,8,4,100,100,100,100,100,100,100,100,100,100,100,100,88,88,88,88,88,5,88,4,8,2,1,4,3,13,2,2,4,2,1,2,2,4,3,5,4,4,3,5,5,5,5,3,2,2,1,1,2,1,2,3,3,2,3,1,3,3,3,3,2,3,2,2,2,2,2,1,1,3,3,2,1,1,2,2,3,1,1,1,3,1,5,2,4,2,5,3,3,2,3,4,3,1,5,5,5,1,3,1,2,4,1,1,3,1,1,3,3,3,9,2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,88,88,88,88,88,88,0,88,4,8,8,8,4,1,1,8,1,4,8,8,8,4,3,2,8,4,8,8,8,8,8,8,8,8,5,1,5,8,8,8,5,3,3,8,2,10,10,10,10,10,10,10,10,10,3,8,8,8,3,2,2,8,3,10,10,10,10,10,10,10,10,10,1,5,5,5,5,5,1,1,5,998,8,88,88,88,2,2,1,10,5,5,5,5,5,5,10,10,10,1,3,4,100,5,100,,,5,100,10,10,10,10,10,1,6,6,1986,510,511,5100,U,25,0.686274509803921,1.45714285714286,59,2,3,99961,,99961,7,10,31,,,,7,10,31,3,0.495916607094619,0.518630700952867,0.514115183848874,1.04437953684833,6510
